run,ton,duty_cycle,peak_current,voltage,mrr,depth_of_cut,surface_roughness,twr
1,500,8,40,20,5.48,0.087,9.07,0.000000223
2,500,8,40,25,5.3,0.084,8.97,0.00000111
3,500,8,40,30,5.2,0.083,8.72,0.00000223
4,500,9,45,20,2.37,0.038,9.24,0.00000223
5,500,9,45,25,2.2,0.035,9.14,0.00000446
6,500,9,45,30,2.09,0.033,8.89,0.00000223
7,500,10,50,20,3.49,0.056,10.33,0.00000223
8,500,10,50,25,3.31,0.053,10.24,0.00000223
9,500,10,50,30,3.21,0.051,9.99,0.00000223
10,750,8,45,20,1.6,0.026,7.66,0.00000223
11,750,8,45,25,1.43,0.023,7.57,0.00000223
12,750,8,45,30,1.32,0.021,7.32,0.00000223
13,750,9,50,20,1.71,0.027,11.53,0.00000111
14,750,9,50,25,1.53,0.024,11.43,0.00000111
15,750,9,50,30,1.43,0.023,11.18,0.00000111
16,750,10,40,20,2.89,0.046,8.65,0.00000111
17,750,10,40,25,2.72,0.043,8.55,0.00000111
18,750,10,40,30,2.61,0.042,8.31,0.00000223
19,1000,8,50,20,3.94,0.063,9.89,0.00000111
20,1000,8,50,25,3.77,0.06,9.79,0.00000111
21,1000,8,50,30,3.66,0.058,9.55,0.00000223
22,1000,9,40,20,4.11,0.066,9.78,0.000000111
23,1000,9,40,25,3.94,0.063,9.69,0.00000111
24,1000,9,40,30,3.84,0.061,9.44,0.00000223
25,1000,10,45,20,2.02,0.032,7.19,0.00000334
26,1000,10,45,25,1.85,0.029,7.09,0.00000223
27,1000,10,45,30,1.74,0.028,6.84,0.00000223
