ton,toff,ip,volt,Machining time (min),MRR (g/min),ra,DA (%)
150,60,10,30,108,0.0028,2.6106,0.0194
230,60,10,30,145,0.0023,3.786,0.0215
150,90,10,30,96,0.0032,2.6137,0.0196
230,90,10,30,112,0.003,3.5734,0.0222
150,60,12,30,101,0.0029,3.486,0.021
230,60,12,30,123,0.0029,3.4398,0.0242
150,90,12,30,83,0.0038,2.5694,0.0222
230,90,12,30,96,0.0037,2.9312,0.0222
150,60,10,60,118,0.0025,2.4475,0.0148
230,60,10,60,144,0.0023,2.3038,0.0184
150,90,10,60,126,0.0024,2.2949,0.0186
230,90,10,60,126,0.0024,2.4646,0.0198
150,60,12,60,110,0.0028,2.5322,0.0184
230,60,12,60,127,0.0027,2.5121,0.0206
150,90,12,60,106,0.0027,2.5067,0.0167
230,90,12,60,114,0.003,2.543,0.0218
190,75,11,45,107,0.0032,2.3455,0.0198
190,75,11,45,101,0.0033,2.6518,0.0208
190,75,11,45,102,0.0032,2.5493,0.0201
190,75,11,45,103,0.0032,2.4989,0.0198
