Observation,Actual,Predicted,Absolute_Error,Squared_Error
1,2.6106,3.0752660738509703,0.4646660738509705,0.21591456018807553
2,3.786,2.977215763572175,0.808784236427825,0.65413194109414
3,2.6137,2.726796820938849,0.11309682093884899,0.01279089090647407
4,3.5734,3.036474563812224,0.5369254361877758,0.28828892402543327
5,3.486,3.2743502304518213,0.21164976954817893,0.044795624949797254
6,3.4398,3.1946705948619796,0.2451294051380204,0.06008842526331974
7,2.5694,2.6531784718979954,0.08377847189799548,0.007018832353563218
8,2.9312,2.8677957903809195,0.06340420961908055,0.004020093797420307
9,2.4475,2.252694159359682,0.19480584064031792,0.03794931554758094
10,2.3038,2.5687427644676935,0.2649427644676936,0.07019466844378376
11,2.2949,2.3007859384310443,0.005885938431044124,3.464427121404217e-05
12,2.4646,2.3271464141929274,0.13745358580707245,0.01889348825122223
13,2.5322,2.4872595429235367,0.044940457076463325,0.0020196446822414427
14,2.5121,2.5438928114696817,0.03179281146968149,0.001010782861146711
15,2.5067,2.4643571691697685,0.04234283083023138,0.0017929153227175933
16,2.543,2.5546128962368755,0.011612896236875336,0.00013485935900843334
17,2.3455,2.566390810365334,0.2208908103653342,0.04879275010385403
18,2.6518,2.466566152892928,0.18523384710707225,0.034311578114086215
19,2.5493,2.4982391961276296,0.05106080387237055,0.0026072056920926918
20,2.4989,2.5159393507874723,0.01703935078747243,0.0002903394752585373
